M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.39393938;0.07575756;0.22727266;0.15151522;0.15151522,0.44295296;0.11744969;0.114094004;0.14765102;0.17785232,0.31914887;0.106382996;0.23404256;0.22340429;0.11702128,0.21153843;0.15384616;0.21153843;0.26923078;0.15384616,0.38333336;0.1333333;0.20000003;0.1333333;0.15000002,0.0039138943
0.21311478;0.09836063;0.21311478;0.26229504;0.21311478,0.442953;0.11744969;0.114094004;0.14765102;0.17785232,0.1530612;0.13265309;0.2142857;0.31632656;0.18367347,0.1643836;0.09589042;0.1780822;0.38356158;0.1780822,0.23999998;0.08;0.23999998;0.3;0.14000003,0.0078277886
0.08045977;0.045977008;0.068965524;0.16091952;0.6436782,0.44295296;0.11744969;0.114094004;0.147651;0.17785232,0.090909086;0.038961038;0.1558442;0.24675317;0.46753252,0.12962961;0.037037037;0.1481481;0.25925928;0.42592594,0.07812499;0.046875004;0.07812499;0.14062501;0.65625,0.0019569472
0.39393938;0.07575756;0.22727264;0.15151522;0.15151522,0.442953;0.1174497;0.114094;0.14765102;0.17785232,0.31914887;0.10638299;0.23404256;0.22340429;0.11702128,0.21153845;0.15384617;0.21153845;0.26923078;0.15384617,0.38333333;0.1333333;0.20000005;0.1333333;0.15000004,0.0127201566
0.11538459;0.07692308;0.03846154;0.1538462;0.6153846,0.43362832;0.10796459;0.113274306;0.17522123;0.16991152,0.1346154;0.038461544;0.1153846;0.32692313;0.38461533,0.080000006;0.080000006;0.120000005;0.20000003;0.52,0.089285724;0.053571437;0.07142857;0.1607143;0.625,0.0205479452
0.11538459;0.07692308;0.03846154;0.1538462;0.6153846,0.43362832;0.10796459;0.1132743;0.17522123;0.16991153,0.1346154;0.038461536;0.1153846;0.3269231;0.38461536,0.080000006;0.080000006;0.120000005;0.20000002;0.52,0.089285724;0.05357143;0.07142857;0.16071428;0.625,0.0088062622
0.11538459;0.07692308;0.03846154;0.15384622;0.6153846,0.43362835;0.10796459;0.113274306;0.17522123;0.16991152,0.1346154;0.038461536;0.115384586;0.3269231;0.38461536,0.08000001;0.08000001;0.120000005;0.20000002;0.52,0.089285724;0.053571433;0.071428575;0.1607143;0.625,0.0058708415
0.11538459;0.07692308;0.03846154;0.15384622;0.6153846,0.43362835;0.10796459;0.1132743;0.17522123;0.1699115,0.1346154;0.038461532;0.1153846;0.3269231;0.38461536,0.080000006;0.080000006;0.12000001;0.20000003;0.5199999,0.089285724;0.05357143;0.071428575;0.16071431;0.62499994,0.0039138943
0.20000002;0.1333333;0.2666667;0.2666667;0.1333333,0.43362835;0.10796459;0.11327431;0.17522123;0.16991152,0.101123594;0.1235955;0.23595507;0.39325845;0.14606738,0.11904761;0.14285709;0.28571433;0.3571429;0.095238104,0.17241378;0.10344832;0.22413789;0.37931034;0.12068968,0
0.8666667;0.019047622;0.057142865;0.038095243;0.019047622,0.43362835;0.10796459;0.113274306;0.17522125;0.16991152,0.91260505;0.02857143;0.02521008;0.02857143;0.0050420174,0.6029412;0.16176468;0.11764708;0.07352941;0.044117644,0.88222224;0.040000003;0.044444446;0.02888889;0.0044444446,0.0088062622
0.1153846;0.07692309;0.038461544;0.1538462;0.6153846,0.43362835;0.10796461;0.113274306;0.17522123;0.1699115,0.13461538;0.038461532;0.115384586;0.3269231;0.38461542,0.080000006;0.080000006;0.11999999;0.20000005;0.52,0.089285724;0.05357143;0.07142857;0.1607143;0.625,0.0009615385
0.071428575;0.35714293;0.42857137;0.071428575;0.071428575,0.43362835;0.10796461;0.11327431;0.17522122;0.1699115,0.2763158;0.39473692;0.1710526;0.14473678;0.013157892,0.23076923;0.43589744;0.1794872;0.1282051;0.02564103,0.3137255;0.35294122;0.19607839;0.11764709;0.019607838,0.0019230769
0.27777782;0.22222218;0.1666667;0.22222218;0.11111109,0.43362835;0.10796461;0.11327431;0.17522123;0.1699115,0.30769226;0.18461543;0.23076919;0.16923082;0.1076923,0.18749999;0.18749999;0.25000003;0.3125;0.06250001,0.38775513;0.2040816;0.12244898;0.16326532;0.12244898,0.0057692308
0.11538459;0.07692308;0.03846154;0.1538462;0.6153846,0.43362832;0.10796461;0.11327431;0.17522123;0.1699115,0.13461539;0.038461532;0.11538459;0.3269231;0.3846154,0.08000001;0.08000001;0.11999998;0.20000003;0.52,0.08928571;0.05357142;0.07142857;0.16071428;0.625,0
0.81621623;0.08108108;0.048648663;0.027027031;0.027027031,0.44295296;0.11744969;0.114094004;0.14765102;0.17785233,0.8330404;0.08260107;0.04745168;0.024604574;0.01230229,0.74594593;0.124324314;0.043243248;0.064864874;0.021621624,0.83641976;0.055555552;0.07098765;0.027777776;0.009259259,0.0019230769
0.24000001;0.120000005;0.24000001;0.24000001;0.15999997,0.44295296;0.11744969;0.114094004;0.147651;0.17785232,0.3191489;0.106383;0.23404256;0.22340429;0.11702128,0.21153846;0.15384617;0.21153846;0.26923072;0.15384617,0.38333336;0.13333333;0.2;0.13333333;0.15000002,0.0028846154
0.34482756;0.1034483;0.137931;0.24137934;0.17241378,0.44295296;0.11744969;0.114094;0.14765102;0.17785232,0.1530612;0.1326531;0.21428572;0.3163265;0.18367349,0.16438359;0.09589041;0.17808218;0.3835616;0.17808218,0.24;0.080000006;0.24;0.3;0.14,0
0.8162162;0.08108108;0.04864866;0.02702703;0.02702703,0.442953;0.1174497;0.114094004;0.147651;0.17785232,0.8330404;0.08260107;0.047451675;0.024604572;0.012302289,0.74594593;0.12432431;0.043243244;0.064864874;0.021621622,0.83641976;0.055555552;0.07098765;0.027777776;0.009259259,0.0019230769
