M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.8543689;0.05582524;0.046116505;0.03640777;0.0072815535,0.72295517;0.06596305;0.11345649;0.063324526;0.034300786,0.86806595;0.05547225;0.04197901;0.02548726;0.008995502,0.5660377;0.1132075;0.22641513;0.07547172;0.018867923,0.934466;0.026699033;0.016990291;0.016990291;0.0048543685,0
0.8543689;0.055825245;0.04611651;0.03640777;0.007281554,0.72295517;0.06596305;0.11345649;0.063324526;0.034300786,0.86806595;0.055472255;0.041979015;0.02548726;0.008995502,0.855;0.060000002;0.045;0.030000001;0.009999999,0.934466;0.02669903;0.01699029;0.01699029;0.0048543685,0
0.8543689;0.05582524;0.046116505;0.03640777;0.0072815535,0.72295517;0.06596305;0.11345649;0.063324526;0.034300786,0.86806595;0.05547225;0.04197901;0.02548726;0.008995502,0.855;0.06;0.045;0.03;0.009999998,0.934466;0.026699033;0.01699029;0.01699029;0.0048543685,0.0010976948
0.40350878;0.2280702;0.21052626;0.1052632;0.052631572,0.72295517;0.06596305;0.113456495;0.063324526;0.034300786,0.41250002;0.22499998;0.2;0.1375;0.025,0.3448276;0.24137926;0.10344829;0.20689657;0.10344829,0.45000002;0.24999997;0.10000001;0.15;0.050000004,0.0010976948
0.40350878;0.22807017;0.21052626;0.105263196;0.052631572,0.72295517;0.06596305;0.11345649;0.06332453;0.034300786,0.4125;0.22499998;0.20000002;0.1375;0.025000002,0.3448276;0.24137926;0.10344829;0.20689657;0.10344829,0.45;0.24999999;0.10000001;0.15;0.050000004,0
0.8543689;0.05582525;0.04611651;0.036407772;0.007281553,0.72295517;0.06596305;0.113456495;0.06332452;0.03430078,0.868066;0.055472247;0.041979007;0.025487259;0.008995501,0.855;0.059999995;0.044999998;0.029999997;0.009999999,0.934466;0.026699033;0.016990285;0.016990285;0.0048543685,0
0.8543689;0.055825237;0.046116497;0.036407765;0.007281552,0.72295517;0.065963045;0.11345648;0.063324526;0.034300786,0.86806595;0.055472247;0.04197901;0.025487259;0.008995502,0.855;0.06;0.044999998;0.03;0.009999999,0.93446606;0.026699025;0.016990285;0.016990285;0.0048543685,0
0.8543689;0.05582524;0.0461165;0.036407765;0.007281553,0.7229551;0.06596305;0.11345649;0.06332453;0.03430079,0.86806595;0.055472255;0.04197902;0.025487263;0.008995503,0.5660378;0.113207504;0.22641508;0.075471714;0.018867923,0.934466;0.026699027;0.016990287;0.016990287;0.004854369,0.0010976948
0.40350875;0.2280702;0.21052627;0.10526321;0.052631572,0.72295517;0.065963045;0.11345648;0.063324526;0.034300786,0.4125;0.225;0.2;0.1375;0.025,0.45000002;0.049999993;0.3;0.15;0.049999993,0.45;0.24999999;0.10000001;0.15000002;0.050000004,0
0.8543689;0.055825237;0.046116505;0.03640777;0.007281554,0.72295517;0.065963045;0.11345647;0.063324526;0.03430078,0.868066;0.05547224;0.04197901;0.025487255;0.008995501,0.85499996;0.060000006;0.045000006;0.030000003;0.01,0.934466;0.026699034;0.016990287;0.016990287;0.004854369,0
0.8543689;0.05582524;0.04611651;0.036407772;0.007281554,0.72295517;0.06596304;0.11345648;0.06332453;0.034300786,0.86806595;0.055472255;0.041979015;0.025487259;0.008995502,0.85499996;0.060000006;0.045000006;0.030000003;0.009999999,0.934466;0.02669903;0.016990287;0.016990287;0.004854369,0
0.8543689;0.055825237;0.04611651;0.036407772;0.007281554,0.72295517;0.06596305;0.11345648;0.06332454;0.034300786,0.868066;0.055472244;0.041979007;0.025487257;0.0089955,0.855;0.06;0.045000006;0.03;0.009999999,0.934466;0.02669903;0.016990285;0.016990285;0.0048543685,0
0.8543689;0.05582524;0.04611651;0.036407772;0.0072815535,0.72295517;0.06596305;0.11345648;0.06332453;0.034300786,0.868066;0.055472244;0.041979007;0.025487259;0.008995499,0.855;0.05999999;0.044999998;0.029999996;0.009999998,0.934466;0.026699034;0.01699029;0.01699029;0.0048543694,0
0.8543689;0.05582524;0.046116505;0.03640777;0.0072815535,0.72295517;0.06596304;0.11345649;0.06332453;0.03430078,0.86806595;0.055472255;0.041979015;0.025487257;0.008995501,0.5;0.22222222;0.11111111;0.11111111;0.055555556,0.934466;0.02669903;0.016990287;0.016990287;0.0048543694,0.0010976948
0.40350878;0.22807018;0.21052627;0.105263196;0.052631572,0.72295517;0.06596305;0.11345648;0.06332453;0.034300786,0.41249996;0.225;0.20000003;0.1375;0.025000004,0.3448276;0.24137928;0.10344828;0.20689656;0.10344828,0.44999996;0.25;0.10000001;0.15000002;0.050000004,0
0.9341238;0.018445324;0.026350463;0.015810283;0.0052700923,0.7942029;0.06956521;0.072463766;0.055072457;0.008695653,0.91260505;0.028571438;0.025210088;0.028571438;0.005042019,0.875;0.027777778;0.038194433;0.048611104;0.01041667,0.9478022;0.005494506;0.01923077;0.013736259;0.013736259,0
0.9341239;0.018445319;0.02635046;0.01581028;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.6666667;0.13333331;0.06666668;0.06666668;0.06666668,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.026350457;0.01581028;0.005270092,0.7942029;0.06956521;0.07246377;0.055072464;0.008695652,0.91260505;0.02857143;0.025210077;0.02857143;0.0050420174,0.875;0.027777778;0.03819444;0.048611112;0.01041667,0.9478022;0.0054945056;0.019230772;0.013736258;0.013736258,0
0.9341239;0.01844532;0.026350461;0.01581028;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571429;0.025210077;0.028571429;0.005042018,0.875;0.027777778;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945066;0.01923077;0.013736259;0.013736259,0
0.8715847;0.03825137;0.03551913;0.04098361;0.013661197,0.79420286;0.06956521;0.07246378;0.055072464;0.008695653,0.91260505;0.028571432;0.025210079;0.028571432;0.0050420184,0.875;0.027777778;0.03819444;0.048611112;0.01041667,0.9478022;0.005494506;0.019230772;0.01373626;0.01373626,0
0.8715847;0.038251366;0.035519127;0.04098361;0.013661199,0.7942029;0.06956521;0.07246378;0.055072464;0.008695653,0.91260505;0.02857143;0.02521008;0.02857143;0.005042018,0.875;0.027777774;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736259;0.013736259,0
0.8715847;0.038251366;0.035519127;0.04098361;0.013661199,0.7942029;0.06956521;0.07246378;0.055072464;0.008695653,0.91260505;0.02857143;0.02521008;0.02857143;0.005042018,0.875;0.027777774;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736259;0.013736259,0
0.8715847;0.038251366;0.035519127;0.04098361;0.013661199,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.02857143;0.02521008;0.02857143;0.005042018,0.875;0.027777774;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736259;0.013736259,0
0.8715847;0.038251366;0.035519127;0.04098361;0.013661199,0.7942029;0.06956521;0.07246378;0.055072464;0.008695653,0.91260505;0.02857143;0.02521008;0.02857143;0.005042018,0.875;0.027777774;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736259;0.013736259,0
0.8543689;0.05582524;0.046116505;0.03640776;0.0072815535,0.72295517;0.06596305;0.113456495;0.063324526;0.034300786,0.868066;0.055472255;0.041979007;0.025487255;0.0089955,0.855;0.060000002;0.044999994;0.030000001;0.01,0.934466;0.026699029;0.016990287;0.016990287;0.004854368,0
0.8543689;0.055825245;0.046116505;0.03640777;0.007281552,0.7229551;0.06596305;0.1134565;0.06332453;0.034300786,0.86806595;0.05547225;0.04197901;0.025487257;0.008995501,0.85499996;0.06000001;0.044999998;0.030000005;0.010000002,0.934466;0.026699027;0.01699029;0.01699029;0.004854369,0
0.8543689;0.055825245;0.046116505;0.03640777;0.007281552,0.7229551;0.06596305;0.1134565;0.06332453;0.034300786,0.86806595;0.05547225;0.04197901;0.025487257;0.008995501,0.85499996;0.06000001;0.044999998;0.030000005;0.010000002,0.934466;0.026699027;0.01699029;0.01699029;0.004854369,0
0.8543689;0.055825245;0.046116505;0.03640777;0.007281552,0.7229551;0.06596306;0.1134565;0.06332453;0.034300786,0.86806595;0.05547225;0.04197901;0.025487257;0.008995501,0.85499996;0.06000001;0.044999998;0.030000005;0.010000002,0.934466;0.026699027;0.01699029;0.01699029;0.004854369,0
0.8543689;0.055825245;0.046116505;0.03640777;0.007281552,0.7229551;0.06596305;0.1134565;0.06332453;0.034300786,0.86806595;0.05547225;0.04197901;0.025487257;0.008995501,0.85499996;0.06000001;0.044999998;0.030000005;0.010000002,0.934466;0.026699027;0.01699029;0.01699029;0.004854369,0
0.8646209;0.059566796;0.0433213;0.025270762;0.0072202156,0.69948184;0.07772022;0.098445594;0.06994819;0.054404143,0.8330404;0.082601056;0.047451675;0.02460457;0.012302292,0.7747748;0.0945946;0.08108107;0.022522517;0.027027022,0.9748744;0.005025126;0.005025126;0.01005025;0.005025126,0
0.8646209;0.059566796;0.043321304;0.025270762;0.007220216,0.69948184;0.07772022;0.09844561;0.0699482;0.054404147,0.8330404;0.08260107;0.047451675;0.024604572;0.012302292,0.7747748;0.09459459;0.08108108;0.022522517;0.027027022,0.9748744;0.0050251256;0.0050251256;0.010050249;0.0050251256,0
0.8646209;0.059566796;0.043321304;0.025270762;0.007220216,0.69948184;0.07772022;0.0984456;0.0699482;0.054404147,0.8330404;0.08260107;0.047451675;0.024604572;0.012302292,0.7747748;0.09459459;0.08108108;0.022522517;0.027027022,0.9748744;0.0050251256;0.0050251256;0.010050249;0.0050251256,0
0.8646209;0.059566796;0.043321304;0.025270762;0.007220216,0.69948184;0.07772022;0.0984456;0.0699482;0.054404147,0.8330404;0.08260107;0.047451675;0.024604572;0.012302292,0.7747748;0.09459459;0.08108108;0.022522517;0.027027022,0.9748744;0.0050251256;0.0050251256;0.010050249;0.0050251256,0
0.9334764;0.019313311;0.030042917;0.008583692;0.008583692,0.7631579;0.08097166;0.06477732;0.052631587;0.038461536,0.840052;0.08842654;0.033810142;0.023407022;0.014304287,0.8313253;0.0873494;0.04216867;0.02710843;0.0120481895,0.9594595;0.01689189;0.013513507;0.0033783785;0.006756758,0
0.9334764;0.019313311;0.030042918;0.008583692;0.008583692,0.7631579;0.08097166;0.06477732;0.05263158;0.038461536,0.840052;0.088426545;0.03381014;0.023407022;0.014304288,0.8313253;0.08734941;0.04216867;0.02710843;0.01204819,0.9594595;0.01689189;0.013513508;0.0033783787;0.0067567574,0
0.9334764;0.019313313;0.03004292;0.008583692;0.008583692,0.7631579;0.08097166;0.06477733;0.052631583;0.038461536,0.840052;0.088426545;0.03381014;0.023407022;0.014304288,0.8313253;0.0873494;0.042168666;0.02710843;0.01204819,0.9594595;0.01689189;0.013513508;0.0033783785;0.0067567574,0
0.9334764;0.019313311;0.030042918;0.008583692;0.008583692,0.7631579;0.08097166;0.06477732;0.052631583;0.038461536,0.840052;0.08842654;0.033810142;0.023407022;0.014304287,0.8313253;0.0873494;0.04216867;0.02710843;0.0120481895,0.9594595;0.01689189;0.013513508;0.0033783782;0.0067567574,0
0.87219346;0.07426598;0.02590674;0.01899827;0.008635579,0.7631579;0.08097166;0.06477732;0.05263158;0.038461532,0.840052;0.08842653;0.03381014;0.02340702;0.014304287,0.8313253;0.0873494;0.04216867;0.027108429;0.0120481895,0.9594595;0.01689189;0.013513509;0.0033783782;0.006756757,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097165;0.06477733;0.05263158;0.038461544,0.840052;0.08842653;0.033810146;0.02340702;0.01430429,0.8313253;0.08734939;0.042168673;0.02710843;0.0120481895,0.9594595;0.016891887;0.013513511;0.003378378;0.0067567565,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097165;0.06477733;0.05263158;0.038461544,0.840052;0.08842653;0.033810146;0.02340702;0.01430429,0.8313253;0.08734939;0.042168673;0.02710843;0.0120481895,0.9594595;0.016891887;0.013513511;0.003378378;0.0067567565,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097165;0.06477733;0.05263158;0.038461544,0.840052;0.08842653;0.033810146;0.02340702;0.01430429,0.8313253;0.08734939;0.042168673;0.02710843;0.0120481895,0.9594595;0.016891887;0.013513511;0.003378378;0.0067567565,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097165;0.06477733;0.05263158;0.038461544,0.840052;0.08842653;0.033810146;0.02340702;0.01430429,0.8313253;0.08734939;0.042168673;0.02710843;0.0120481895,0.9594595;0.016891887;0.013513511;0.003378378;0.0067567565,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097165;0.06477733;0.05263158;0.038461544,0.840052;0.08842653;0.033810146;0.02340702;0.01430429,0.8313253;0.08734939;0.042168673;0.02710843;0.0120481895,0.9594595;0.016891887;0.013513511;0.003378378;0.0067567565,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097165;0.06477733;0.05263158;0.038461544,0.840052;0.08842653;0.033810146;0.02340702;0.01430429,0.8313253;0.08734939;0.042168673;0.02710843;0.0120481895,0.9594595;0.016891887;0.013513511;0.003378378;0.0067567565,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097165;0.06477732;0.052631583;0.038461544,0.840052;0.08842653;0.033810146;0.02340702;0.01430429,0.8313253;0.08734939;0.042168673;0.02710843;0.0120481895,0.9594595;0.016891887;0.013513511;0.003378378;0.0067567565,0
0.8721934;0.07426599;0.025906736;0.01899827;0.008635578,0.7631579;0.08097164;0.06477732;0.052631572;0.03846154,0.840052;0.08842652;0.033810142;0.023407018;0.014304287,0.8313253;0.0873494;0.042168673;0.027108429;0.0120481895,0.9594595;0.016891891;0.013513509;0.0033783775;0.006756756,0
0.8333333;0.05263158;0.07894737;0.017543862;0.017543862,0.72295517;0.065963045;0.11345647;0.06332454;0.034300778,0.86806595;0.055472262;0.041979015;0.025487265;0.008995502,0.855;0.06;0.044999994;0.03;0.009999998,0.934466;0.026699027;0.01699029;0.01699029;0.0048543676,0
0.8333333;0.052631583;0.07894739;0.01754386;0.01754386,0.72295517;0.06596305;0.11345649;0.06332453;0.034300786,0.86806595;0.05547226;0.04197901;0.025487263;0.008995501,0.855;0.06;0.044999994;0.03;0.01,0.934466;0.026699029;0.01699029;0.01699029;0.004854369,0
0.8333333;0.05263158;0.078947365;0.01754386;0.01754386,0.72295517;0.06596306;0.11345649;0.063324526;0.034300786,0.86806595;0.055472247;0.041979007;0.02548726;0.008995502,0.5660378;0.11320749;0.2264151;0.075471714;0.018867921,0.93446606;0.026699027;0.016990285;0.016990285;0.0048543685,0
0.8333333;0.05263158;0.07894738;0.01754386;0.01754386,0.72295517;0.065963045;0.11345648;0.063324526;0.034300786,0.86806595;0.055472247;0.04197901;0.025487259;0.008995502,0.855;0.060000002;0.045;0.030000001;0.010000001,0.934466;0.02669903;0.01699029;0.01699029;0.004854369,0
0.8646209;0.05956679;0.0433213;0.02527076;0.007220217,0.69948184;0.077720225;0.098445594;0.06994819;0.054404143,0.8330404;0.08260108;0.04745167;0.02460457;0.012302289,0.625;0.083333336;0.1666667;0.083333336;0.041666668,0.9748744;0.005025126;0.005025126;0.01005025;0.005025126,0
0.8646209;0.059566785;0.0433213;0.025270756;0.0072202166,0.69948184;0.077720225;0.098445594;0.0699482;0.054404147,0.8330404;0.08260106;0.047451667;0.024604572;0.012302291,0.625;0.083333336;0.16666667;0.083333336;0.041666668,0.9748744;0.005025126;0.005025126;0.010050251;0.005025126,0
0.8646209;0.05956679;0.043321297;0.025270758;0.0072202166,0.69948184;0.077720225;0.0984456;0.069948204;0.05440415,0.8330404;0.08260106;0.047451667;0.02460457;0.012302291,0.7747748;0.0945946;0.08108108;0.022522517;0.027027026,0.9748744;0.005025126;0.005025126;0.010050251;0.005025126,0
0.8646209;0.059566792;0.0433213;0.025270758;0.0072202166,0.69948184;0.077720225;0.098445594;0.0699482;0.054404147,0.8330404;0.08260106;0.047451664;0.024604572;0.01230229,0.7747748;0.0945946;0.08108108;0.022522518;0.027027026,0.9748744;0.005025125;0.005025125;0.010050249;0.005025125,0
0.8646209;0.059566792;0.043321304;0.02527076;0.0072202166,0.69948184;0.077720225;0.09844561;0.0699482;0.054404147,0.83304036;0.08260108;0.04745167;0.024604574;0.01230229,0.7747748;0.094594605;0.081081085;0.022522517;0.027027026,0.9748744;0.005025127;0.005025127;0.010050251;0.005025127,0
0.8543689;0.055825233;0.046116497;0.036407765;0.0072815525,0.72295517;0.06596305;0.11345649;0.063324526;0.034300786,0.868066;0.055472247;0.041979004;0.025487257;0.008995502,0.855;0.06;0.045;0.03;0.009999999,0.934466;0.02669903;0.016990287;0.016990287;0.004854369,0
0.8543689;0.055825237;0.046116505;0.036407765;0.007281554,0.72295517;0.06596305;0.11345649;0.06332453;0.03430079,0.868066;0.055472247;0.041979007;0.025487257;0.0089955,0.5;0.22222221;0.111111104;0.111111104;0.05555556,0.934466;0.02669903;0.01699029;0.01699029;0.0048543685,0
0.8543689;0.05582524;0.046116505;0.036407776;0.007281554,0.72295517;0.06596306;0.11345648;0.06332453;0.034300786,0.86806595;0.055472262;0.041979015;0.025487257;0.008995501,0.5660378;0.11320749;0.22641511;0.075471714;0.018867921,0.934466;0.02669903;0.01699029;0.01699029;0.0048543685,0
0.8543689;0.055825245;0.04611651;0.03640777;0.0072815544,0.72295517;0.065963045;0.11345649;0.06332453;0.034300786,0.868066;0.055472244;0.041979004;0.025487257;0.008995499,0.855;0.060000002;0.045000006;0.030000001;0.009999998,0.934466;0.026699029;0.016990285;0.016990285;0.004854369,0
0.9132948;0.02601156;0.03468208;0.020231208;0.0057803467,0.72295517;0.06596305;0.11345649;0.06332453;0.03430079,0.86806595;0.055472244;0.041979015;0.025487259;0.0089955,0.5660378;0.11320749;0.22641513;0.075471714;0.018867923,0.934466;0.02669903;0.016990287;0.016990287;0.0048543685,0
0.9132948;0.02601156;0.03468208;0.020231213;0.0057803476,0.7229551;0.06596305;0.1134565;0.06332453;0.03430079,0.868066;0.05547225;0.041979004;0.025487255;0.008995499,0.5660378;0.1132075;0.2264151;0.07547172;0.018867921,0.934466;0.026699033;0.01699029;0.01699029;0.0048543694,0
0.9132948;0.026011558;0.03468208;0.02023121;0.005780347,0.7229551;0.06596305;0.113456495;0.06332454;0.03430079,0.86806595;0.055472247;0.04197901;0.025487257;0.008995501,0.855;0.060000002;0.045;0.030000001;0.009999998,0.934466;0.026699034;0.016990287;0.016990287;0.0048543694,0
0.9132948;0.02601156;0.03468208;0.020231213;0.0057803476,0.7229551;0.06596305;0.113456495;0.06332453;0.03430079,0.868066;0.05547225;0.041979004;0.025487255;0.008995499,0.5660378;0.1132075;0.2264151;0.07547172;0.018867921,0.934466;0.026699033;0.01699029;0.01699029;0.0048543694,0
0.9132948;0.02601156;0.03468208;0.020231212;0.0057803476,0.7229551;0.065963045;0.113456495;0.06332453;0.03430079,0.86806595;0.055472244;0.041979015;0.025487259;0.008995501,0.855;0.060000002;0.044999998;0.030000001;0.009999998,0.934466;0.02669903;0.016990287;0.016990287;0.004854369,0
0.9341239;0.018445322;0.02635046;0.015810281;0.005270092,0.7942029;0.06956522;0.07246377;0.05507246;0.008695653,0.91260505;0.028571432;0.025210083;0.028571432;0.005042018,0.7777778;0.037037045;0.07407406;0.07407406;0.037037045,0.9478022;0.005494506;0.01923077;0.013736259;0.013736259,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.02635046;0.015810281;0.005270092,0.7942029;0.06956521;0.07246378;0.05507246;0.008695653,0.91260505;0.028571432;0.02521008;0.028571432;0.005042018,0.875;0.027777776;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945056;0.01923077;0.013736258;0.013736258,0
0.9341239;0.018445319;0.026350457;0.01581028;0.005270092,0.7942029;0.06956521;0.07246377;0.055072464;0.008695653,0.91260505;0.02857143;0.025210077;0.02857143;0.0050420174,0.875;0.027777778;0.03819444;0.048611112;0.01041667,0.9478022;0.0054945056;0.019230772;0.013736258;0.013736258,0
0.9341239;0.01844532;0.026350461;0.01581028;0.005270092,0.7942029;0.06956521;0.07246377;0.05507246;0.008695652,0.91260505;0.028571429;0.025210077;0.028571429;0.005042018,0.875;0.027777778;0.038194437;0.04861111;0.01041667,0.9478022;0.0054945066;0.01923077;0.013736259;0.013736259,0
0.8543689;0.055825245;0.046116505;0.036407765;0.007281553,0.72295517;0.065963045;0.113456495;0.06332453;0.034300786,0.86806595;0.05547226;0.04197901;0.025487255;0.008995502,0.855;0.060000002;0.045;0.030000001;0.01,0.934466;0.026699025;0.016990287;0.016990287;0.0048543685,0
0.8543689;0.055825245;0.04611651;0.03640777;0.007281554,0.7229551;0.065963045;0.1134565;0.06332453;0.034300786,0.868066;0.055472255;0.041979007;0.025487255;0.0089955,0.855;0.060000006;0.044999998;0.030000003;0.01,0.934466;0.02669903;0.016990287;0.016990287;0.0048543685,0
0.8543689;0.055825245;0.04611651;0.03640777;0.007281554,0.7229551;0.065963045;0.1134565;0.06332453;0.034300786,0.868066;0.055472255;0.041979007;0.025487255;0.0089955,0.855;0.060000006;0.044999998;0.030000003;0.01,0.934466;0.02669903;0.016990287;0.016990287;0.0048543685,0
0.8646209;0.059566792;0.043321304;0.025270762;0.0072202166,0.8731343;0.044776116;0.044776116;0.026119398;0.011194029,0.8330404;0.08260105;0.047451675;0.024604566;0.012302288,0.96875;0.010416671;0.010416671;0.0078125;0.002604167,0.83641976;0.05555554;0.07098764;0.02777777;0.0092592565,0
0.8646209;0.05956679;0.0433213;0.02527076;0.007220216,0.8731343;0.044776116;0.044776116;0.026119398;0.011194029,0.8330404;0.082601056;0.047451675;0.024604568;0.012302288,0.96875;0.01041667;0.01041667;0.0078125;0.002604167,0.83641976;0.055555545;0.07098764;0.027777772;0.0092592565,0
0.8646209;0.05956679;0.043321304;0.02527076;0.007220216,0.8731344;0.04477611;0.04477611;0.026119396;0.011194028,0.8330404;0.08260106;0.04745168;0.02460457;0.012302289,0.96875;0.01041667;0.01041667;0.0078125;0.0026041672,0.83641976;0.05555554;0.07098765;0.02777777;0.0092592565,0
0.8646209;0.05956679;0.0433213;0.02527076;0.007220216,0.8731343;0.044776116;0.044776116;0.026119398;0.011194029,0.8330404;0.08260107;0.047451675;0.024604572;0.01230229,0.96875;0.01041667;0.01041667;0.007812499;0.002604167,0.83641976;0.055555545;0.07098765;0.027777772;0.009259257,0
0.87219346;0.07426597;0.02590674;0.01899827;0.008635577,0.91612905;0.04301075;0.025806447;0.00860215;0.006451612,0.840052;0.08842653;0.03381014;0.023407018;0.014304288,0.9695946;0.015202702;0.011824322;0.001689189;0.001689189,0.8742004;0.063965894;0.040511735;0.012793181;0.008528786,0
0.87219346;0.07426597;0.02590674;0.01899827;0.008635578,0.91612905;0.043010745;0.02580645;0.008602151;0.0064516123,0.840052;0.08842654;0.033810142;0.023407018;0.014304289,0.9695946;0.0152027;0.011824321;0.001689189;0.001689189,0.8742004;0.06396588;0.04051173;0.0127931805;0.008528785,0
0.87219346;0.07426597;0.025906736;0.01899827;0.008635577,0.91612905;0.04301075;0.025806446;0.00860215;0.006451612,0.840052;0.08842654;0.033810146;0.023407018;0.01430429,0.8611111;0.055555567;0.027777784;0.027777784;0.027777784,0.8742004;0.063965894;0.04051174;0.012793181;0.008528787,0
0.87219346;0.07426598;0.025906738;0.01899827;0.008635576,0.91612905;0.04301075;0.025806446;0.00860215;0.006451612,0.840052;0.08842654;0.033810146;0.023407018;0.01430429,0.9695946;0.015202698;0.011824319;0.0016891889;0.0016891889,0.8742004;0.063965894;0.04051174;0.012793181;0.008528787,0
0.87219346;0.07426598;0.025906738;0.01899827;0.008635576,0.91612905;0.04301075;0.025806446;0.00860215;0.006451612,0.840052;0.08842654;0.033810146;0.023407018;0.01430429,0.9695946;0.015202698;0.011824319;0.0016891889;0.0016891889,0.8742004;0.063965894;0.04051174;0.012793181;0.008528787,0
0.87219346;0.07426598;0.02590674;0.01899827;0.008635579,0.91612905;0.04301074;0.025806446;0.00860215;0.0064516114,0.840052;0.08842653;0.033810146;0.023407022;0.01430429,0.9695946;0.015202701;0.011824321;0.0016891891;0.0016891891,0.8742004;0.06396588;0.040511727;0.012793179;0.008528784,0
0.87219346;0.07426598;0.02590674;0.01899827;0.008635579,0.91612905;0.04301074;0.025806446;0.00860215;0.0064516114,0.840052;0.08842653;0.033810146;0.023407022;0.01430429,0.9695946;0.015202701;0.011824321;0.0016891891;0.0016891891,0.8742004;0.06396588;0.040511727;0.012793179;0.008528784,0
0.87219346;0.07426598;0.025906742;0.01899827;0.00863558,0.91612905;0.04301075;0.025806447;0.008602151;0.006451613,0.840052;0.08842653;0.033810146;0.023407022;0.01430429,0.9695946;0.0152027;0.01182432;0.0016891891;0.0016891891,0.8742004;0.06396588;0.040511727;0.01279318;0.008528783,0
