M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.19230768,0.14910004,0.1388889,0.111111104,0.07692307,0.0062893082
0.086956516,0.20565557,0.1666667,0.055555563,0.08333335,0.0078616352
0.086956516,0.14395891,0.16666669,0.05555556,0.5625,0.0023584906
0.49090913,0.14395891,0.24705876,0.4047619,0.07246377,0.0039308176
0.26923078,0.37018004,0.13888891,0.1951219,0.17307688,0.0007861635
0.18181822,0.13110544,0.1375,0.103448294,0.049999997,0.0007861635
0.15909089,0.13110542,0.1375,0.45000002,0.049999993,0
0.020231208,0.14395893,0.04197901,0.855,0.8181818,0.0007861635
0.3018868,0.107964605,0.1447368,0.14285712,0.15217389,0.0023584906
0.15000002,0.17522122,0.16923082,0.1724138,0.3333333,0.0007861635
0.018867921,0.16991152,0.3947369,0.30555558,0.15217389,0.0007861635
0.1509434,0.43362835,0.013157893,0.30555558,0.1521739,0.0007861635
0.3018868,0.11327431,0.2763158,0.36111104,0.36956516,0.0039308176
0.33823526,0.43362832,0.10112361,0.18421051,0.2075472,0.0055031447
0.11666669,0.10796461,0.03846154,0.6153846,0.4473683,0.0023584906
0.1333333,0.107964605,0.18461542,0.06896552,0.3333333,0.0078616352
0.6376812,0.14910002,0.5370371,0.6666666,0.083333336,0.0055031447
0.6376812,0.20565556,0.11111109,0.18518518,0.5625,0.0062893082
0.08695653,0.20565556,0.11111109,0.6666666,0.5625,0.0039308176
0.05956679,0.1174497,0.83916086,0.02252252,0.83641976,0
0.02527076,0.44295296,0.83916086,0.081081085,0.027777778,0.0021691974
0.15151519,0.147651,0.13636357,0.39215687,0.38333336,0
0.025270758,0.11409401,0.03496503,0.77477473,0.07098766,0
0.02590674,0.38955826,0.036363643,0.0873494,0.8742004,0
0.07426598,0.1405623,0.018181823,0.042168673,0.008528785,0
0.018998267,0.14457828,0.02272727,0.042168673,0.0127931805,0
0.018998267,0.38955823,0.018181823,0.0873494,0.04051173,0
0.027027026,0.114094004,0.02097902,0.027027028,0.009259258,0
0.048648655,0.1174497,0.062937066,0.027027028,0.83641976,0.0021691974
0.15999998,0.442953,0.31818184,0.09803922,0.15000002,0.0021691974
0.24000001,0.11744972,0.31818184,0.29411766,0.20000002,0
0.04864865,0.1778523,0.03496503,0.081081085,0.07098765,0
0.059566796,0.1778523,0.02097902,0.027027028,0.83641976,0
0.025270764,0.11744971,0.83916086,0.1666667,0.009259258,0.0021691974
0.07575757,0.17785232,0.090909086,0.1372549,0.38333333,0.0075921909
0.08045977,0.114094004,0.3,0.5000001,0.14062499,0
0.043321308,0.147651,0.06293708,0.0810811,0.027777778,0.0054229935
0.045977008,0.11409399,0.15,0.09803921,0.046874996,0
0.043321304,0.17785232,0.06293707,0.081081085,0.05555555,0.0010845987
0.14705881,0.14765102,0.31578943,0.1162791,0.22916667,0
0.8715847,0.11327431,0.028112447,0.010416671,0.04444445,0.0010845987
0.41860464,0.113274306,0.44827586,0.36111107,0.019607838,0
0.013661197,0.17522123,0.048192773,0.875,0.004444447,0
